Africa,Tanzania,29685,31,67,7230,1750,X,55.98,14.45,29.57,X,88359,3500,35000,33500,16359,2998,9,2,89,150,10688,13495,13376,3955,9682,335,178,X,X,30,329752,2.25,322,14,1005,19,10000,1122
Africa,Togo,4138,73,165,1276,324,530,48.56,17.98,33.47,-12.7,5439,2430,200,900,1909,2900,62,13,25,7,1054,1538,250,1250,2048,934,6,X,X,9,10352,0.02,196,1,558,0,2000,X
Africa,Tunisia,8896,54,81,5093,2476,3075,17.89,31.34,50.77,2.7,15536,4952,3103,676,6805,443,9,3,89,385,625,2917,660,7100,1420,6,367,X,231,218,30791,0.23,78,1,356,0,2150,X
Africa,Uganda,21297,90,204,2670,X,547,52.66,12.35,34.99,6.4,19965,6770,1800,5500,5895,3099,32,8,60,9,6611,8361,5100,1980,3350,880,17,X,X,16,136987,2.81,338,6,992,3,5000,X
Africa,Zambia,9456,13,25,4071,X,X,33.69,36.33,29.98,6.8,74339,5273,30000,28700,10366,12267,16,7,77,46,1972,2918,3300,69,620,295,2,X,X,51,129891,27.88,229,3,736,1,4600,211
Africa,Zimbabwe,11261,29,50,3619,X,X,15.18,36.39,48.43,2,38685,2876,4856,8800,22153,1776,14,7,79,193,2818,4228,4500,550,2530,280,129,X,X,208,69940,6.09,270,1,648,0,4200,95
Australasia,Australia,18088,2,3,15318,10568,14458,x,x,x,x,764444,46486,413800,145000,159158,18963,65,2,33,2107,387,8584,24732,132609,241,2740,274,x,x,3917,109059,136.87,252,198,751,353,15000,14074
Australasia,New Zealand,3575,13,16,3077,2279,11363,x,x,x,x,26799,3800,13500,7380,2119,91496,46,10,44,285,132,1546,8550,50135,484,430,80,x,x,565,489,76.58,10,4,287,76,2160,1942
Europe,Albania,3441,120,162,1285,622,X,X,X,X,X,2740,702,424,1048,566,6190,6,18,76,341,756,1631,630,1900,1280,86,196,2,X,43,15199,11.99,68,0,306,0,2965,24
Europe,Andorra,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Europe,Armenia,3599,121,159,2473,X,X,48,29.84,22.16,-14.8,2840,X,X,X,X,3687,13,15,72,X,X,X,X,720,16,80,12,X,X,49,0,10.8,X,3,X,0,X,X
Europe,Austria,7968,95,99,4424,X,12955,X,X,X,X,8273,1498,1954,3240,1581,11333,33,58,9,4,190,3777,2430,324,40,3800,65,X,X,966,29615,137,83,0,414,0,2950,35
Europe,Azerbaijan,7558,87,117,4216,X,X,X,X,X,-13,8610,2000,2200,950,X,4364,4,22,74,1000,X,X,1621,4339,200,115,35,10,30,546,0,8.73,X,0,X,0,X,X
Europe,Belarus,10141,49,48,7215,X,X,16.86,53.73,29.41,-9.5,20760,6248,3106,7000,X,7277,32,49,19,100,X,X,5851,289,30,4175,223,20,X,1249,0,0.07,X,0,X,0,X,X
Europe,Belgium,10113,331,341,9809,1968,13484,X,X,X,X,3282,X,X,X,X,1236,11,85,4,X,X,X,X,X,X,X,X,X,X,1976,5595,3.67,58,0,429,0,1400,1
Europe,Belgium/Luxembourg,X,X,X,X,X,X,X,X,X,X,3282,794,688,700,1100,X,X,X,X,1,68,4314,3289,160,9,6948,21,X,X,X,0,0,X,X,X,X,X,X
Europe,Bosnia and Herzegovina,3459,68,88,1695,X,X,X,X,X,X,5100,940,1000,2000,1160,X,X,X,X,2,X,X,390,600,X,223,50,1,X,29,0,14.4,X,0,X,0,X,X
Europe,Bulgaria,8769,79,70,6201,857,5208,12.98,38.16,48.86,-4.7,11055,4310,1811,3877,1057,23378,3,76,22,1237,485,4397,750,3763,676,2071,433,17,X,965,12846,6.99,81,0,374,0,3505,320
Europe,Croatia,4495,80,75,2896,X,X,11.5,30.02,58.48,X,5592,1313,1093,2100,1086,13660,X,X,X,3,X,X,519,444,108,1347,32,X,X,263,0,15.64,X,0,X,0,X,X
Europe,Czech Republic,10296,131,135,6736,X,X,6.17,39.95,53.87,X,7728,3293,873,2629,933,5653,41,57,2,24,709,8468,2113,196,45,4071,18,X,X,1659,0,5.75,X,0,X,0,X,X
Europe,Denmark,5181,120,118,4414,3980,14091,X,X,X,X,4243,2542,197,445,1059,2509,30,27,43,435,119,2887,2082,82,X,10864,17,X,X,762,4871,0.1,43,0,439,0,1200,1
Europe,Estonia,1530,34,32,1118,X,X,8.08,29.17,62.75,X,4227,1143,313,2022,749,11490,5,92,3,X,X,X,463,83,0,424,5,X,X,214,0,0,65,0,330,0,1630,X
Europe,Finland,5107,15,16,3225,1539,12000,X,X,X,X,30461,2580,106,23186,4589,22126,12,85,3,64,185,2562,1230,79,6,1300,49,X,X,1014,29803,48.96,60,0,425,0,1040,X
Europe,France,57981,105,111,42203,9380,13918,X,X,X,X,55010,19439,10764,14931,9876,3415,16,69,15,1485,1182,26026,20112,10452,1055,13383,370,X,X,9153,101044,244.42,93,0,506,9,4500,133
Europe,Georgia,5457,78,88,3190,X,X,58.03,21.79,20.18,-40,6970,1000,2000,2700,X,11942,21,37,42,400,X,X,1050,1300,85,650,20,20,X,159,0,23.4,X,2,X,0,X,X
Europe,Germany,81591,229,214,70616,X,14709,X,X,X,X,34927,12116,5251,10700,17560,2096,11,70,20,475,1662,40268,15891,2360,88,26044,530,X,X,13724,0,77.27,76,0,503,0,2600,6
Europe,Greece,10451,79,75,6817,5252,X,X,X,X,-0.1,12890,3494,5250,2620,1526,5612,8,29,63,1314,904,4008,608,9604,5557,1143,200,1,X,989,13218,9.15,95,2,398,0,4900,742
Europe,Hungary,10115,109,101,6541,X,4645,5.6,28.4,65.99,-3.3,9234,4973,1157,1764,1340,11864,9,55,36,206,518,5186,1002,1280,36,5002,76,X,X,990,23681,0.6,72,0,363,0,2148,38
Europe,Iceland,269,3,3,246,186,12618,X,X,X,X,10025,6,2274,120,7625,624535,31,63,6,X,9,141,77,500,X,22,82,X,X,54,0,16.07,11,0,316,0,340,1
Europe,Ireland,3553,51,55,2043,1766,9637,X,X,X,X,6889,923,4690,320,956,14073,16,74,10,X,166,1347,6308,5991,9,1487,68,X,X,428,489,3.64,25,0,417,0,892,X
Europe,Italy,57187,190,174,38101,21232,12721,X,X,X,X,29406,11860,4300,6770,6476,2920,14,27,59,2710,1429,23748,7683,10370,1346,8200,388,92,X,6749,48428,160.14,90,3,490,0,5463,712
Europe,Latvia,2557,40,36,1863,X,X,14.9,31.61,53.49,-9.5,6205,1711,803,2839,852,13297,42,44,14,X,X,X,995,133,5,737,28,X,X,187,0,10.35,83,0,325,0,1153,X
Europe,Liechtenstein,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Europe,Lithuania,3700,57,59,2667,X,X,20.54,41.47,38,-16.2,4551,3008,460,2000,X,6541,7,90,3,X,X,X,1650,48,9,1200,78,X,X,368,0,1.41,68,0,305,0,1200,X
Europe,Luxembourg,406,157,170,361,X,16798,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,X,160,196,1.67,X,X,X,X,X,X
Europe,Macedonia,2163,84,100,1294,X,X,X,X,X,X,2543,663,634,1000,246,X,X,X,X,83,X,X,276,2444,X,181,62,1,X,139,0,3.24,X,0,X,0,X,X
Europe,Moldova,4432,132,152,2293,X,X,34.59,47.69,17.72,-14,3297,2193,421,421,262,3093,7,70,23,311,X,X,916,1373,72,1165,57,X,X,234,0,1.35,68,0,270,0,X,X
Europe,Monaco,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Europe,Netherlands,15503,380,398,13801,7764,13281,X,X,X,X,3392,934,1051,350,1057,5805,5,61,34,560,204,6314,4629,2198,13,13991,66,X,X,3306,2298,0.33,55,0,456,0,1170,X
Europe,Norway,4337,13,15,2667,2324,15518,X,X,X,X,30683,890,123,8330,21340,90385,20,72,8,97,99,2190,1003,2316,89,745,22,X,X,904,9449,430.24,54,0,453,0,1650,1
Europe,Poland,38388,119,129,24853,1842,3826,6.33,38.59,55.08,4,30442,14668,4047,8785,2942,1464,13,76,11,100,3710,19674,7696,870,X,19466,721,X,X,4056,27819,12.87,79,0,421,0,2300,3
Europe,Portugal,9823,106,105,3496,2352,X,X,X,X,-0.5,9195,3160,840,3300,1895,7085,15,37,48,630,644,4540,1322,5991,836,1487,275,X,X,603,5639,31.45,63,1,441,2,2500,150
Europe,Romania,22835,96,92,12650,573,X,20.51,39.88,39.61,1.2,23034,9941,4852,6682,1559,9109,8,33,59,3102,2118,11848,3597,11499,776,9262,785,0,X,1762,19364,45.96,84,0,368,0,3175,41
Europe,Russia,147000,9,8,111736,18372,X,X,X,X,-12,1699580,133900,76200,778500,X,30599,17,60,23,4000,16389,144909,48900,41078,2622,28600,2520,140,10,30042,0,630.63,X,X,X,X,X,X
Europe,San Marino,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
